accession,pubmed_id,pmc_id,raw_file_count,organism,taxids,experiment_types,pub_license,Reannotated,Reannotation_QC,spectral_file_types
PXD014746,31994890.0,,22,Homo sapiens (human),9606,Shotgun proteomics,,False,False,RAW
PXD016434,32582685.0,PMC7295954,14,Sus scrofa domesticus (domestic pig),9825,Shotgun proteomics,CC BY,False,False,RAW
PXD017343,,,178,Mus musculus (mouse),10090,Affinity purification coupled with mass spectrometry proteomics,,False,False,RAW
PXD017757,32409602.0,,28,Mus musculus (mouse),10090,Shotgun proteomics,,False,False,RAW
PXD012051,31887112.0,PMC6936787,0,Salmo salar (atlantic salmon),8030,Gel-based experiment,CC BY,False,False,MGF
PXD016381,32471945.0,PMC7293625,8,Clostridium autoethanogenum,84023,SWATH MS,CC BY-NC-ND,False,False,RAW
PXD018911,32463832.0,PMC7282668,36,Arabidopsis thaliana (mouse-ear cress),3702,Shotgun proteomics,CC BY,False,False,RAW
PXD016338,,,210,Saccharomyces cerevisiae (baker's yeast),4932,Affinity purification coupled with mass spectrometry proteomics,,False,False,RAW
PXD012317,32398793.0,PMC7217957,0,Homo sapiens (human),9606,SWATH MS,CC BY,False,False,MGF;MZID;SCAN;WIFF
PXD015951,32416315.0,,6,Canis familiaris (dog) (canis lupus familiaris),9615,Shotgun proteomics,,False,False,MGF;RAW
PXD017468,32407674.0,,33,Homo sapiens (human),9606,Shotgun proteomics,,False,False,RAW
PXD014156,,,20,Bioreactor sludge metagenome,412754,Shotgun proteomics,,False,False,RAW
PXD018147,32483152.0,PMC7264179,1,Mus musculus (mouse),10090,Gel-based experiment,CC BY,False,False,MGF;RAW
PXD017341,32561764.0,PMC7305127,176,Mus musculus (mouse),10090,Affinity purification coupled with mass spectrometry proteomics,CC BY,False,False,RAW
PXD019251,31988137.0,,32,Homo sapiens (human),9606,Chemical cross-linking coupled with mass spectrometry proteomics,,False,False,RAW
PXD018717,,,24,Arabidopsis thaliana (mouse-ear cress),3702,Shotgun proteomics,,False,False,RAW
PXD019248,32513971.0,PMC7280298,8,Arabidopsis thaliana (mouse-ear cress),3702,Affinity purification coupled with mass spectrometry proteomics,CC BY,False,False,RAW
PXD017469,32265294.0,,30,Mus musculus (mouse),10090,Shotgun proteomics,,False,False,MZML;RAW
PXD015625,32424245.0,PMC7367855,0,Uncultured phormidium sp.,259949,Shotgun proteomics,CC BY,False,False,MGF;SCAN;WIFF
PXD018342,32546623.0,PMC7298713,24,Rhizobium meliloti (ensifer meliloti) (sinorhizobium meliloti),382,SRM/MRM; Shotgun proteomics,CC BY,False,False,RAW
PXD013673,,,109,Escherichia coli,562,Shotgun proteomics,,False,False,RAW
PXD014525,32034161.0,PMC7005859,426,Homo sapiens (human),9606,Shotgun proteomics,CC BY,False,False,RAW
PXD017597,32338227.0,PMC7332775,27,Giardia intestinalis (giardia lamblia),5741,Shotgun proteomics,CC BY,False,False,RAW
PXD016777,32409632.0,PMC7224374,425,Homo sapiens (human),9606,Shotgun proteomics,CC BY,False,False,RAW;ZIP
