pxd	pid	log_file	status_file	command
PXD008164	3128205	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD008164.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD008164.exit	python src/main.py --pxd PXD008164 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD008337	3128274	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD008337.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD008337.exit	python src/main.py --pxd PXD008337 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD008348	3128347	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD008348.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD008348.exit	python src/main.py --pxd PXD008348 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD008418	3128398	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD008418.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD008418.exit	python src/main.py --pxd PXD008418 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD008550	3128560	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD008550.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD008550.exit	python src/main.py --pxd PXD008550 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD008577	3128570	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD008577.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD008577.exit	python src/main.py --pxd PXD008577 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD008605	3128755	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD008605.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD008605.exit	python src/main.py --pxd PXD008605 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD008680	3128793	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD008680.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD008680.exit	python src/main.py --pxd PXD008680 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD008914	3128912	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD008914.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD008914.exit	python src/main.py --pxd PXD008914 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD008941	3129151	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD008941.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD008941.exit	python src/main.py --pxd PXD008941 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD008951	3129161	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD008951.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD008951.exit	python src/main.py --pxd PXD008951 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD008975	3129302	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD008975.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD008975.exit	python src/main.py --pxd PXD008975 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD009000	3129394	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD009000.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD009000.exit	python src/main.py --pxd PXD009000 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD009001	3129586	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD009001.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD009001.exit	python src/main.py --pxd PXD009001 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD009106	3129698	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD009106.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD009106.exit	python src/main.py --pxd PXD009106 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD009159	3130498	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD009159.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD009159.exit	python src/main.py --pxd PXD009159 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD009224	3130508	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD009224.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD009224.exit	python src/main.py --pxd PXD009224 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD009260	3130683	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD009260.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD009260.exit	python src/main.py --pxd PXD009260 --config configs/config.yaml --no-download --nproc 1 --verbose
PXD009284	3130694	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/run/PXD009284.log	/home/ians/git_repos/xHAMLET/logs/stage5_sdrf/status/PXD009284.exit	python src/main.py --pxd PXD009284 --config configs/config.yaml --no-download --nproc 1 --verbose
